#image_name, u, v, x, y, z
0C5A0605, 3979.7881605735624, 3057.14052430488, 45, 45, 0
0C5A0604, 3658.976420368241, 3033.0404989342037, 30, 45, 0
0C5A0603, 3332.7603137675, 3002.156468118833, 15, 45, 0
0C5A0602, 3001.667312041871, 2973.835686812991, 0, 45, 0
0C5A0601, 4632.490979767943, 3570.9383960713667, 75, 30, 0
0C5A0600, 4324.224339597223, 3550.404724022695, 60, 30, 0
0C5A0599, 4010.776486643427, 3534.131381803856, 45, 30, 0
0C5A0598, 3689.423106575907, 3498.1913246775816, 30, 30, 0
0C5A0597, 3361.308357201977, 3487.315739761366, 15, 30, 0
0C5A0596, 3024.5278061146814, 3460.1500171983485, 0, 30, 0
0C5A0595, 4668.783674021228, 4052.7295692231364, 75, 15, 0
0C5A0594, 4357.642508715733, 4026.6626607295198, 60, 15, 0
0C5A0593, 4042.47809142497, 4014.693496954823, 45, 15, 0
0C5A0592, 3717.6165971653177, 3992.724375513277, 30, 15, 0
0C5A0591, 3387.3164934596575, 3983.991952803938, 15, 15, 0
0C5A0590, 3049.631485527102, 3956.22777166945, 0, 15, 0
0C5A0589, 4709.92142237141, 4550.702321798514, 75, 0, 0
0C5A0588, 4396.451434750948, 4544.205892693953, 60, 0, 0
0C5A0587, 4074.853886946375, 4470.860496203275, 45, 0, 0
0C5A0586, 3751.920721999318, 4493.893045223755, 30, 0, 0
0C5A0585, 3413.3730017692883, 4460.17979688161, 15, 0, 0
0C5A0584, 3076.5750423798045, 4469.311809725814, 0, 0, 0
0C5A0723, 3794.7640320361693, 1727.715217876659, 15, 75, 60
